Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PaperBasedPotalNSTP,Chrome 126.0.0.0,,,27-06-2024 17:41:44,27-06-2024 17:44:18,2m - 33.468s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LoginPage,Chrome 126.0.0.0,,,27-06-2024 17:41:45,27-06-2024 17:42:06,21.727s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,27-06-2024 17:41:46,27-06-2024 17:42:04,18.718s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:42:06,27-06-2024 17:42:06,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/HomePage,Chrome 126.0.0.0,,,27-06-2024 17:42:06,27-06-2024 17:42:15,8.972s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,27-06-2024 17:42:07,27-06-2024 17:42:13,6.166s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:42:15,27-06-2024 17:42:15,0.008s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SelectPaperBased,Chrome 126.0.0.0,,,27-06-2024 17:42:15,27-06-2024 17:42:26,10.713s,PASSED
paperBasedPortal.SelectPaperBased.paperBased(),Chrome 126.0.0.0,,,27-06-2024 17:42:16,27-06-2024 17:42:24,8.214s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:42:26,27-06-2024 17:42:26,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LetsgetStarted,Chrome 126.0.0.0,,,27-06-2024 17:42:26,27-06-2024 17:42:40,13.826s,PASSED
paperBasedPortal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,27-06-2024 17:42:26,27-06-2024 17:42:38,11.466s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:42:40,27-06-2024 17:42:40,0.008s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/BorrowerDetail,Chrome 126.0.0.0,,,27-06-2024 17:42:40,27-06-2024 17:42:52,11.884s,PASSED
"paperBasedPortal.Borrower_Detail.borrower_DetailsNSTP(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,27-06-2024 17:42:41,27-06-2024 17:42:50,9.431s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:42:52,27-06-2024 17:42:52,0.002s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/uploadDocument,Chrome 126.0.0.0,,,27-06-2024 17:42:52,27-06-2024 17:44:03,1m - 11.024s,PASSED
paperBasedPortal.UploadYourDocuments.uploadYourDocumentsPage(),Chrome 126.0.0.0,,,27-06-2024 17:42:52,27-06-2024 17:44:01,1m - 8.720s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:44:03,27-06-2024 17:44:03,0.002s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/SubmitPage,Chrome 126.0.0.0,,,27-06-2024 17:44:03,27-06-2024 17:44:18,14.703s,PASSED
paperBasedPortal.SubmitPage.proceedToPreReleaseFunNSTP(),Chrome 126.0.0.0,,,27-06-2024 17:44:03,27-06-2024 17:44:16,12.450s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:44:18,27-06-2024 17:44:18,0.001s,PASSED
