Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EncoderForWith,Chrome 126.0.0.0,,,23-06-2024 12:56:58,23-06-2024 13:06:26,9m - 27.917s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoginPage,Chrome 126.0.0.0,,,23-06-2024 12:56:58,23-06-2024 12:57:30,32.171s,PASSED
encoder.LoginForibpsEncoder.login(),Chrome 126.0.0.0,,,23-06-2024 12:57:00,23-06-2024 12:57:28,28.450s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:57:30,23-06-2024 12:57:30,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/HomePage,Chrome 126.0.0.0,,,23-06-2024 12:57:30,23-06-2024 12:58:02,31.602s,PASSED
encoder.HomePageForibpsEncoder.selectResistration(),Chrome 126.0.0.0,,,23-06-2024 12:57:31,23-06-2024 12:58:00,29.268s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:58:02,23-06-2024 12:58:02,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/ClientInformationWithAPI,Chrome 126.0.0.0,,,23-06-2024 12:58:02,23-06-2024 13:00:02,1m - 59.733s,PASSED
tabSection.CustomerDetail.clientInformationForEncoderPaperBasedWith(),Chrome 126.0.0.0,,,23-06-2024 12:58:03,23-06-2024 13:00:00,1m - 56.967s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:00:02,23-06-2024 13:00:02,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CollateralInformationWith,Chrome 126.0.0.0,,,23-06-2024 13:00:02,23-06-2024 13:00:20,18.440s,PASSED
tabSection.CollateralInformation.collateralInformationForEncoderPaperBasedWith(),Chrome 126.0.0.0,,,23-06-2024 13:00:02,23-06-2024 13:00:18,16.153s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:00:20,23-06-2024 13:00:20,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoanInformationWithAPI,Chrome 126.0.0.0,,,23-06-2024 13:00:21,23-06-2024 13:01:46,1m - 25.326s,PASSED
"tabSection.LoanInformation.loanInfoForEncoderPaperBased(marketingPromoCode, Downpayment_Amt, Actual_Cashout, loanTerm, insuranceType, loanPurpose, modeOfRelease, Scheduled_Unit_Release_Date, Actual_Unit_Release_Date, Total_CMFCollectedby_Dealer, Payment_Type, PaymentFrequency, Mode_Of_Payment)",Chrome 126.0.0.0,,,23-06-2024 13:00:21,23-06-2024 13:01:44,1m - 22.325s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:01:46,23-06-2024 13:01:46,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/DocumentChecklist,Chrome 126.0.0.0,,,23-06-2024 13:01:46,23-06-2024 13:01:55,9.337s,PASSED
tabSection.DocumentCheckList.documentCheckListForEncoderPaperBased(),Chrome 126.0.0.0,,,23-06-2024 13:01:46,23-06-2024 13:01:53,7.115s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:01:55,23-06-2024 13:01:55,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CheckEligibility,Chrome 126.0.0.0,,,23-06-2024 13:01:55,23-06-2024 13:05:36,3m - 40.275s,PASSED
tabSection.CheckEligibility.checkEligibilityForEncoderPaperBased(),Chrome 126.0.0.0,,,23-06-2024 13:01:55,23-06-2024 13:05:33,3m - 37.608s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:05:36,23-06-2024 13:05:36,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CreditEvaluation,Chrome 126.0.0.0,,,23-06-2024 13:05:36,23-06-2024 13:05:38,2.948s,PASSED
tabSection.CreditEvaluation.creditEvaluationForEncoderPaperBased(),Chrome 126.0.0.0,,,23-06-2024 13:05:36,23-06-2024 13:05:36,0.752s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:05:38,23-06-2024 13:05:38,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CreditInvestigation,Chrome 126.0.0.0,,,23-06-2024 13:05:39,23-06-2024 13:05:42,3.459s,PASSED
tabSection.CreditInvestigation.creditInvestigationForEncoderPaperbased(),Chrome 126.0.0.0,,,23-06-2024 13:05:39,23-06-2024 13:05:40,1.245s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:05:42,23-06-2024 13:05:42,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/InsuranceInformation,Chrome 126.0.0.0,,,23-06-2024 13:05:42,23-06-2024 13:05:45,3.471s,PASSED
tabSection.InsuranceInformation.insuranceInformationForEncoderPaperBased(),Chrome 126.0.0.0,,,23-06-2024 13:05:42,23-06-2024 13:05:43,1.157s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:05:45,23-06-2024 13:05:45,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/DisbursementInformation,Chrome 126.0.0.0,,,23-06-2024 13:05:45,23-06-2024 13:05:49,3.419s,PASSED
tabSection.DisbursementInfo.disbursementInformationForEncoderPaperbased(),Chrome 126.0.0.0,,,23-06-2024 13:05:46,23-06-2024 13:05:47,1.125s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:05:49,23-06-2024 13:05:49,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/Action,Chrome 126.0.0.0,,,23-06-2024 13:05:49,23-06-2024 13:06:15,25.891s,PASSED
tabSection.Action.submitForAO(),Chrome 126.0.0.0,,,23-06-2024 13:05:49,23-06-2024 13:06:13,23.641s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:06:15,23-06-2024 13:06:15,0.005s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Chrome 126.0.0.0,,,23-06-2024 13:06:15,23-06-2024 13:06:26,10.949s,PASSED
signOutibps.SignOut.logout(),Chrome 126.0.0.0,,,23-06-2024 13:06:15,23-06-2024 13:06:24,8.483s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:06:26,23-06-2024 13:06:26,0.001s,PASSED
