Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuiteForDealerNSTP,Chrome 126.0.0.0,,,27-06-2024 17:55:50,27-06-2024 18:00:38,4m - 48.213s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LoginPage,Chrome 126.0.0.0,,,27-06-2024 17:55:50,27-06-2024 17:56:18,27.893s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,27-06-2024 17:55:51,27-06-2024 17:56:16,24.888s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:56:18,27-06-2024 17:56:18,0.004s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/HomePage,Chrome 126.0.0.0,,,27-06-2024 17:56:18,27-06-2024 17:56:26,7.588s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,27-06-2024 17:56:19,27-06-2024 17:56:24,5.051s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:56:26,27-06-2024 17:56:26,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/SelectAutoLoan,Chrome 126.0.0.0,,,27-06-2024 17:56:26,27-06-2024 17:56:38,12.143s,PASSED
autoLoanProtal.SelectAutoLoan.clickToDigitalApplication(),Chrome 126.0.0.0,,,27-06-2024 17:56:27,27-06-2024 17:56:36,9.277s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:56:38,27-06-2024 17:56:38,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LetsgetStarted,Chrome 126.0.0.0,,,27-06-2024 17:56:38,27-06-2024 17:56:57,18.754s,PASSED
autoLoanProtal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,27-06-2024 17:56:39,27-06-2024 17:56:55,15.693s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:56:57,27-06-2024 17:56:57,0.002s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LoanDetails,Chrome 126.0.0.0,,,27-06-2024 17:56:57,27-06-2024 17:57:37,40.294s,PASSED
"autoLoanProtal.LoanDetails.loanDetail(brand, unitDescription, loanTerm, downpaymentValue, actualCashOut, insuranceType)",Chrome 126.0.0.0,,,27-06-2024 17:56:58,27-06-2024 17:57:35,37.767s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:57:37,27-06-2024 17:57:37,0.008s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/NSTPPortal/BorrowerDetailNSTP,Chrome 126.0.0.0,,,27-06-2024 17:57:38,27-06-2024 17:57:59,21.676s,PASSED
"autoLoanProtal.Borrower_Detail.borrower_DetailsForNSTP(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,27-06-2024 17:57:39,27-06-2024 17:57:57,18.932s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:57:59,27-06-2024 17:57:59,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/ConfirmationPage,Chrome 126.0.0.0,,,27-06-2024 17:57:59,27-06-2024 17:58:09,9.276s,PASSED
autoLoanProtal.confirmationPage.editOnConfirmationPage(),Chrome 126.0.0.0,,,27-06-2024 17:58:00,27-06-2024 17:58:07,7.008s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 17:58:09,27-06-2024 17:58:09,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/InitialCheckingWithAPI,Chrome 126.0.0.0,,,27-06-2024 17:58:09,27-06-2024 17:58:16,7.233s,PASSED
autoLoanProtal.initial_Confirmation.initial_conf(),Chrome 126.0.0.0,,,27-06-2024 17:58:09,27-06-2024 17:58:14,5.031s,PASSED
