Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PaperBasedPortal,Chrome 126.0.0.0,,,23-06-2024 12:53:25,23-06-2024 12:56:44,3m - 18.834s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LoginPage,Chrome 126.0.0.0,,,23-06-2024 12:53:26,23-06-2024 12:53:59,32.597s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,23-06-2024 12:53:28,23-06-2024 12:53:56,28.174s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:53:59,23-06-2024 12:53:59,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/HomePage,Chrome 126.0.0.0,,,23-06-2024 12:53:59,23-06-2024 12:54:08,9.129s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,23-06-2024 12:53:59,23-06-2024 12:54:06,6.685s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:54:08,23-06-2024 12:54:08,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SelectPaperBased,Chrome 126.0.0.0,,,23-06-2024 12:54:08,23-06-2024 12:54:19,11.376s,PASSED
paperBasedPortal.SelectPaperBased.paperBased(),Chrome 126.0.0.0,,,23-06-2024 12:54:08,23-06-2024 12:54:17,9.009s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:54:19,23-06-2024 12:54:19,0.005s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LetsgetStarted,Chrome 126.0.0.0,,,23-06-2024 12:54:19,23-06-2024 12:54:40,20.446s,PASSED
paperBasedPortal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,23-06-2024 12:54:20,23-06-2024 12:54:37,17.978s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:54:40,23-06-2024 12:54:40,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/BorrowerDetail,Chrome 126.0.0.0,,,23-06-2024 12:54:40,23-06-2024 12:55:07,27.112s,PASSED
"paperBasedPortal.Borrower_Detail.borrower_Details(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,23-06-2024 12:54:40,23-06-2024 12:55:05,24.614s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:55:07,23-06-2024 12:55:07,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/DocumentUploadPage,Chrome 126.0.0.0,,,23-06-2024 12:55:07,23-06-2024 12:56:29,1m - 21.899s,PASSED
paperBasedPortal.UploadYourDocuments.uploadYourDocumentsPage(),Chrome 126.0.0.0,,,23-06-2024 12:55:07,23-06-2024 12:56:27,1m - 19.387s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:56:29,23-06-2024 12:56:29,0.020s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SubmitPageForBackOffice,Chrome 126.0.0.0,,,23-06-2024 12:56:29,23-06-2024 12:56:44,15.170s,PASSED
paperBasedPortal.SubmitPage.proceedToPreReleaseFun(),Chrome 126.0.0.0,,,23-06-2024 12:56:29,23-06-2024 12:56:42,12.604s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 12:56:44,23-06-2024 12:56:44,0.004s,PASSED
